date,review,rating,isEdited,userName,title,App_Name
2018-03-20 20:03:36,"Previous version worked well for running if auto-pause was disabled because the watch would pause if you looked at the screen while running.  I thought that was fixed with latest update because the timer keeps going.  

I tried to run four miles two different days and I begin looking at my screen a lot at 3.8.   The timer kept going but the distance was stuck on 3.8.  I finally stopped looking at the screen at hit 4.0 eventually.  This has happened last two runs and kills my average speed and try distance.   

I’m pretty sure the app stops counting miles when the screen is active.   I don’t know if this is related to auto-pause or not.  I’ve turned auto pause off and don’t look at the screen anymore.  The app is definitely buggy.  Strava creates a great social network that is the standard for cycling, but stick with Your Garmin and then upload.  Not sure why it’s taking this long to build a stable watch app.  I never had problems with the phone app.",5,False,Cool breeze 12345,Latest iwatch 3 update,Strava
2023-09-21 16:37:13,"To be clear, I am reviewing the free version. 

This works pretty well but has some areas for improvement. They put out app updates way too often (once recently three days in a row), which is inconvenient for me as a user and makes me think they issue glitchy updates or their development efforts aren’t very well coordinated. Mileage accuracy is highly questionable — I often ride with my partner who has the same phone and carrier as I do, yet our mileage can be as much as 10% different. From a usability perspective, a couple of the tabs could be combined for more efficient navigation; I suspect they don’t do much usability/layout research. On the plus side, I love the feature that figures out who else I was riding with (but I don’t love that it combines my ride maps with theirs when the rides didn’t exactly match). The step-counter for walking is highly accurate…better than my iPhone’s native counter…which I figured out by actually counting my own steps, then comparing my count to Strava’s(!). The ability to “add media” (share photos & videos) is great and I’m pleasantly surprised it’s available on the free version since those media must hog a lot of server memory. 

Overall I would recommend the free version to bikers or walkers, but I won’t be subscribing until the mileage accuracy is better, because that’s the most important feature to me personally.",3,False,RLSinSF,Pretty good but not great,Strava
2020-07-27 19:06:35,"Okay so this is a bit of a rage review. I've been using strava pretty dilligently for about 2 years. It's been mostly great, showing timed splits and elevation gain to give a good granular sense of what happened during a workout. It's really all I wanted, since I don't intend on getting heart rate monitor.

However, lately strava has been goofing up on time elapsed, distance gone, maybe my actual location? Not sure. But it'll take a good half-mile for the app to figure out that I've started moving, even after manually starting a workout and confirming that my location is correct. It will also just stop registering that I'm still moving in the middle of a workout, paradoxically showing my location way off of the blue line while the timer is still running. This throws off all the calculations for timing and honestly is pretty disheartening that I don't have an accurate record of my efforts.

I know strava gets is revenue from user data, but why am I using this broken app if it isn't even giving me the data it has advertised? How reliable is the background data being collected? At this point, I might as well go back to using the timer and maps apps built in to iOS, since I'm already using them to figure out what strava did wrong in the first place.",3,False,Hair_david,"Functionality is going downhill, not that strava can measure it",Strava
2018-05-31 05:24:13,"I tried Strava a few years ago and didn’t love it. I’ve used several running apps over the years. The one I have used consistently over the last 4 years has been Runkeeper. 
I have a few friends on Strava and I thought I’d try it again because I like the social aspect of sharing with friends. 
Strava has a lot of nice data and it seems that their paid service revolves more around training plans rather than focused on just giving you more data. This makes sense to me. I really want to like this app!
I use an Apple Watch but also carry my phone. The watch app starts up pretty fast so that’s a plus. 
My main issues with Strava is that I have to go to the website in order to add my shoes so I can track the mileage. This seems silly. I can’t find a reason for it. I don’t want extra steps to get the app set up I also have a big issue with the app not showing me two decimal places for mileage. This is beyond silly. It’s just dumb. Runner like stats. We don’t want to have to log on to the website to get info that should be available on the app. Isn’t the entire point of an application to be self contained? The app is good but be aware that setup will take you 10 extra minutes and that viewing stats will be something that you will have to set aside time to do AFTER your run.",3,False,Aaron Macom,Needs work,Strava
2020-05-29 01:48:02,"I love strava & will continue to use the app but am disappointed with recent updates. I really enjoyed the leaderboard & monthly comparisons, which can now only be accessed through subscription. I would consider becoming a subscriber because I am a huge fan, but the cost has been a deterrent. I can understand their decision to  try & make the app more profitable. However, I think they should have given longtime users the option of buying those features at a lower cost. I am simply someone who loves running. But I am not training for anything & given the surgeries I’ve had it is unlikely I ever will. Some of the other subscribed features may not suitable for me because of that. I want to support the app but I just don’t think the price is that accessible to everyone. I understand $60/year isn’t much, but when you’re a newly unemployed college student it’s difficult justifying that extra expense. I still really enjoy the app, I just hope these changes don’t alter how much I use it. I think if i never experienced those features I might feel differently. I am sad to see them go. Wish there was more of a middle ground for less competitive individuals.",4,False,hannnah18000089797,Love it but bummed out,Strava
2018-09-26 23:10:00,"I’ve used Strava for many years, I’ve been running for about 9 years now and I always use it to train for my races. I love the social aspect and I’ve never had an issue with the GPS when using my phone.

I recently got an Apple Watch series 3, the main purpose being for exercise. I wanted to ditch the heavy phone and run with something lighter. I also was excited about moving to Bluetooth headphones to avoid the phone/cord situation and the hands free aspect was really appealing. Not to mention the Apple Watch also tracks heart rate and other things that my iPhone didn’t do. However, I’ve been really disappointed in the connection between my Apple Watch and Strava. My runs are totally off, it often gets the distances wrong, misses huge chunks of my runs, and records my runs as if I had gone way faster. I thought that this was a flaw in the watch but I have friends who have tried other apps with success. I also thought this was a matter of having the data plan, but I switched over to the one with data and I’m still having issues.

I would love to see them make improvement in this realm. I’m so excited about the convenience of my watch and I want to keep using Strava, so I’m hoping to see some upgrades soon!",3,False,SG 🌻,Apple Watch Series 3,Strava
2019-07-22 03:29:13,"Seriously, Strava you have just about every conceivable feature and aspect of a great running/biking app. Great social interaction, widespread usage, which makes the segment portion great almost everywhere I run/bike, and the BEST analytics. I have been waiting in vain for years for you to add ANY sort of interval training with distance, time, and heart rate. I would accept just a simple timer in the app, but audio cues for speed/HR/timers/distance and customizable training plans would be preferred. People might think with the paid version they would get it, but they would be wrong. Since this MAJOR OVERSIGHT has been noted by people on your forums, you know about it, but are willfully ignoring us, your users. I have almost reached my breaking point and am about to give up hope and switch to Runkeeper or <gasp> Nike. It feels like the Benedict thing to do, but I CANNOT WAIT FOR YOU FOREVER! The saddest part will be leaving all my Strava friends behind for literally any other app that has this, simply because you refuse to add such a staple of training: INTERVALS. This is my last ditch effort to get ANY SORT of interval training in Strava, but if you don’t add it soon I am done with you 😢. Seriously Strava, DON’T MAKE ME LEAVE YOU!!! I LOVE THE REST OF THE APP TOO MUCH!",3,False,Shmarmychaff,Has ALMOST every thing I want but...,Strava
2022-08-09 22:01:48,"Downloaded Strava primarily to track mileage on gear since MapMyRun discontinued this app/feature. Strava fails to save my selection for mileage alert… I keep trying to select my preferred mileage alert (for a pair of runners, for example) and save it… but every time I go back in to look at the gear via “edit item” it either shows a completely random number (that I never selected) or fails to show a mileage alert? I feel this feature has been falsely advertised if you download the app to find you cannot even use it appropriately. I am pretty loyal to MapMyRun as it has my entire history logged plus it syncs to MyFitnessPal… I’d rather not have to download an additional app (like “GearTracking”) just to keep track of my shoe mileage… I liked that Strava works like MapMyRun (without media limits) combined with GearTracking… but I’m annoyed the gear tracking is acting buggy and doesn’t offer as much as the GearTracking app (ie consideration of prior mileage, pie chart progress graph on gear mileage, etc.) Not sure if I will continue using Strava as a result? Minus 1 star for a buggy gear tracking performance which is what I came to Strava for.",4,False,Cant Post Review No Names,Buggy/Limited Gear Tracking,Strava
2022-10-07 15:37:46,"I suspect the fault for this lies in iOS, but cycling distance received by Apple Health from Strava is often truncated. For example, yesterday’s little neighborhood ride of 15.2 miles initially appeared in Apple Health as being 10.2 miles, which is probably where I paused for a long telephone conversation. Today, that same ride shows up in the Health App as being approximately 13.1 miles, and Apple shows it segmented hour by hour.
One day earlier, a 9 mile climb of 1650 feet, followed by a short pause, then a 1.5 mile cruise along the shore of the alpine reservoir, then another pause at the end of the pavement to share our trophies (delicious cookies), then a downhill rush ended up segmented into 3 adjacent hours with the total distance recorded in Apple Health about 1.5 miles less than recorded by Strava. Strava’s data source for this information is NOT the Apple Phone’s or Apple watch’s GPS (I wear each), but my Garmin Edge 1030, which exports to the Strava app on my Apple iOS and macOS devices. I know that Strava doesn’t reveal the precise start and endpoints of activities beginning at my home address, but that’s not the issue here.",4,False,calfeerider,Wonky integration with Apple Health,Strava
2020-05-20 18:02:34,"Extremely disappointed with the most recent update that puts subscriptions at the center of their business model. I understand the need to stay current and keep up with user demand which has exploded in recent months. My issue is about long time users such as myself (member since March 2013) who opted in to giving Strava our data for free in order to develop better cycling infrastructure and freely share safe routes with new users. Routes never became freely accessible, they were instantly subscription only. That stung but I accepted it. Now with the newest update we can no longer compare our segment stats with friends on Strava, besides the standard top ten, all comparisons are subscription only. This was one of my favorite features, I love seeing how I stack up against friends and it was a great selling point for me to get friends to use Strava. I have a suggestion, as unfortunate as it is, for new users this is just how it will be. However, for long time users it might be fair to let us keep our free features that made us love Strava. You gave us an incredible app that motivates and challenges a lot of people and it’s a wonderful service. I thank you for that, now please return some of the basics that we all know and love.",2,False,808Seb,Slap in the face to long time users,Strava
