date,developerResponse,review,rating,isEdited,title,userName,App_Name
2023-10-28 13:19:36,"{'id': 39811525, 'body': 'Hi, we appreciate your wonderful and kind feedback and are so pleasant to hear that you love this app. Your compliment made all our efforts worthy. Keep an eye out for more features and content. Have an awesome day!', 'modified': '2023-10-30T06:15:43Z'}","Even though I just started this game, I feel amazing. I’ve always been like a shame about my body shape after doing one practice I’m starting to love this app even though I have to go to school I might even do this like over and over. I feel amazing I feel like this is gonna help me a lot. I really hope it does. I’m gonna try to do it in the mornings I woke up at like 6 AM no like seven and the practice is at eight and I feel amazing only like a 10 minute workout but it really helps you. I bet if you download this app you will feel amazing so far I am seeing muscles that was never there thank you a lot and I’m trying to reach my goal. This is so kid friendly and adult friendly I recommend you download this app I feel amazing I feel confident I feel good and I feel like you should download this app. Thank you for your time and I would like the team to respond back to me. Thank you goodbye and have a good night day over everyone. Have a good day.",5,False,I feel good,Wow you’re amazing YouTuber,JustFit Lazy Workout Fit
2023-02-02 14:25:47,"{'id': 34700508, 'body': 'Hi, thanks for your feedback. You could choose the product according to your using experience, we absolutely hope your choice is our. Because we have workouts for different parts according to your preference in “Workouts” and can click the button iconed as three horizontal lines in the upper right corner of “Plan Setting”, and you can change the fitness level. Hope it helps! And we are updating our content. We will consider your requirement because it is so useful and report it to our development team. If you have any suggestions, please feel free to tell us. Looking forward and wish you keep fit!\r\n', 'modified': '2023-02-06T11:15:25Z'}","I just started the free trial. I’ve used 8fit in the past. I like how 8fit has more flexibility with the exercises, you can make a more custom workout. I like how this app does ask about physical limitations, but leaves arms out? Like what about people with rotator cuff issues? I have a calcification on my tendon (“bone spur”) and have trouble with my right arm, I have been in PT awhile, so I know what I can do to modify the exercises but it would be nice to be able to limit the amount of arm exercises per workout because I can’t do that many and still be able to carry my toddler when needed. I was hoping to start at like 10-15 minute workouts, but I can just skip some of the exercises I guess (my toddler won’t even let me get through a whole PT session most days). I think they should have an option to replace individual exercises with similar ones that you prefer. I can’t do crunches, and I like that they have the combo crunch & leg lift because it would be easier on my back, but that doesn’t keep my toddler from coming over & laying on top of me. I’d rather do some standing exercises in place of lying down on days when she won’t stop climbing on me. I’m also still BF so lying on my stomach doesn’t really work for me either. So it’s okay, but not amazing & I think I might prefer 8fit because of the customization options.",3,False,"It seems okay, but could use some improvements",Spiffy Spifferson,JustFit Lazy Workout Fit
2023-02-01 04:22:31,"{'id': 34629228, 'body': 'Thank you so much! We will update our content and improve our app! There are many different types of fitness videos within JustFit, and we are constantly updating our fitness content. Please stay tuned!', 'modified': '2023-02-02T07:24:46Z'}",I just completed day 2. I only gave 3 stars because when I checked out day 2 of my fitness plan it showed 3 or 4 sections that needed to be completed at about 20 mins long. I didn’t change anything the only thing I did was hit start and the exercises changed and then I was supposed to complete a four minute long routine instead of the 20 minute long routine that consisted of me lifting water bottles I repeated this about four times because I wanted to get in my minutes at least. I will continue to Headstart on each day of my plan without changing anything and I will always review the exercises before hitting start if it continues to change the exercise routine after I hit start then I will discontinue my membership the pros are I was definitely sweating the exercises are easy and beginner friendly five more days to give it a shot.I may have to try out some of the lazy girl exercises as well I found the section where it shows how to do exercises either in the bed or on the couch seems like a good thing to do in the morning before IGet out of bed to start things off right for the day I will update at day seven! But so far so good!,3,False,So far so good,gotta try 35,JustFit Lazy Workout Fit
2023-03-10 15:23:20,"{'id': 37670823, 'body': 'Hi LoraCan1, sorry for the unpleasant experience. Thank you very much for your feedback. We have various workouts in “Workouts” where you can find the exercises you like. We take care of our user experience seriously. I have given your feedback to our development team. Our team is already working intensively to optimize the algorithm. Although it will take some time, we will definitely optimize it as soon as possible.Once again, sorry for the inconvenience. If you have any suggestions, please feel free to tell us. Looking forward and wish you keep fit.', 'modified': '2023-07-14T07:02:05Z'}","I was excited to start this app as the preliminary survey revealed I could hit my goal weight within 2 days of my goal. The was pleased the app asked about my physical limitations and that my workout would be tailored to me. The first few days were good, but then jumping became a part of my workout (something I said I didn’t want). I also disclosed some back issues, but the workouts include some exercises that are painful to my back. The app was clear that I shouldn’t expect any weight loss the first week, but after I should see more rapid weight loss. I admit I was bummed as I gained 2 pounds my first week. I assumed it would start to come off in the second week. After 2 weeks, still no loss; just weight gain. I should mention that I am also doing Noom and intermittent fasting (IF). Before using this app. I was losing weight with Noom and IF, but since starting Just Fit, I’m gaining. I am repeating some exercises or modifying them a bit (3 of them) to avoid the jumping and back pain, but still working my core. I tried to reach out to someone about modifying my plan or for advice, but received an error when trying to reach the developers.",2,False,"Not as expected, can’t reach developers",LoraCan1,JustFit Lazy Workout Fit
2023-05-15 11:49:53,"{'id': 37670837, 'body': 'Hi Giggle! Thanks for sharing your feedback. JustFit provides users with workout plans based on users fitness levels and abilities. You can also try other supplemental workouts. If you have any suggestions or problems, please feel free to contact us by submitting a request. We are glad to help you!', 'modified': '2023-07-14T07:03:03Z'}","I really liked the concept of this app. They have found bite sized workouts that get you moving more than anything else, which in this WFH world can get difficult. However, I’m one who struggles with creating habits and with only 4 days in a trial period (and truthfully while the exercises are still easier and even more bite sized) it’s not enough to convince me I’ll stick with it and make the paid version worth it. It would be better it was a two week trial to give me time to make a habit, get more familiar with the routines and get to a point where I “need” the app rather than make me decide before I’ve really had a chance to be invested. 

Additionally, I like other reviews, like that the app asks if you have physical limitations, however it only asks about: ankle, back, knee, leg, or wrist limitations. So it doesn’t take into consideration anyone with a hip, neck, or shoulder limitation.  I had a shoulder injury a few years back and still have issues with my rotator cuff, but this implies it doesn’t take those modifications into consideration. 

I don’t think I’ll be paying for the subscription and will look elsewhere.",2,False,Good concept but not enough time with free trial,Giggle_video,JustFit Lazy Workout Fit
2023-01-09 17:23:35,"{'id': 34241774, 'body': 'Thank you for sharing your experience! We will continue to update our fitness content. If you have any suggestions, please feel free to tell us, we will do our best to improve our app!', 'modified': '2023-01-12T07:46:39Z'}","Disclaimer - I’m 52 years old and have no real physical problems except for some creaky joints now and again.  I got this app because I let myself get really out of shape and needed some help on reconfiguring my work out philosophy.  I’m a former athlete so I was trying to push through my workouts and found that, in my current state of fitness, was not going to work.  I needed some strength training and a lot of core training.  These little workouts are really fitting the bill!  Great little workouts to combine with some cardio make for an almost circuit training workout I can do by my desk (I work remotely). I have my little stair stepper that I get on before and after my daily work out and then I do the core workout in the afternoon.  I like this because it’s manageable amd seems to be effective.  I don’t see my new workout program getting derailed because I’m getting my muscle tone back in manageable bites during my day.  But that’s just me",5,False,It work for me!,cchick001,JustFit Lazy Workout Fit
2023-06-26 15:44:49,"{'id': 37670740, 'body': 'Hi Card, sorry for the unpleasant experience and thank you for supporting JustFIt. The refund can be handled through Apple Pay. You can sign in to report problem.apple.com to finish. If you have any problems, please feel free to tell us through the feedback section in the app, we will help you out! Looking forward and wish you keep fit.', 'modified': '2023-07-14T06:56:26Z'}","When I subscribed to this app it said it was $5 a month, and it is, but you get charged for a year at a time. I have cancer, in treatment for over a year, have no income, and will be  in treatment for another year. Also, probably no income yet then either. I understood that it was $5 a month when I subscribed to the app, I didn’t understand I would be charged a yearly fee. I see now that I’ve paid my yearly price that monthly is $20 a month.  So since you took the whole year out, of which I didn’t budget for, I can’t pay my phone bill. I live off what I can sell, donations from church now and then. I can’t afford this yearly, nor $20 a month. I budgeted my bills on $5 a month for this app! This is a great app, I love it and I can do the personalized plan, but what a sacrifice I’ve made to get it! I still have the app 5 stars because it’s that good, but the deception of payment requirements are wrong!",5,False,$5 a month,Card Flippin' Jeannie,JustFit Lazy Workout Fit
2023-09-08 12:25:32,"{'id': 38882982, 'body': 'Hi dear, thank you for the feedback, and we’ll take your suggestion into consideration. We are always looking for new ways to continue improving. Please stay tuned!', 'modified': '2023-09-13T01:29:52Z'}","I’m already someone who’s in shape and goes to the gym but have a few limitations. Pros: exercises are super simple and quick. A good motivator to have a new workout each day ready for me so I don’t have to think.
Cons: My plan is extremely redundant and comically simple. They ask for your weight loss goals when you sign up and claim that you will get to your goal weight by a certain date. How? Magically? They offer zero dietary advice. I can not skip ahead or do two workouts of my plan in one day. The next day is locked. There are plenty of other supplemental workouts available. One says “if you’re having trouble losing weight try this”- should be a picture of a salad underneath it because no amount of exercise without a diet change will get you there.
If you are a total newbie to exercise, this could be a good start for you. But it is incredibly misleading to say that you will lose weight. You may tone up a bit but weight loss comes with consistently eating a well balanced low calorie healthy diet! Good luck!",3,False,Not for weight loss,Giselelookalike,JustFit Lazy Workout Fit
2023-04-19 20:18:34,"{'id': 37671081, 'body': 'Hi ymof8! Hi, we are moved to hear that you like JustFIt. We will keep working hard in the hope of providing you better user experience. Thanks again and have a fantastic day! Looking forward and wish you keep fit.', 'modified': '2023-07-14T07:13:44Z'}","In my younger years I loved doing cardio and core workouts. Then life happened and I just could never seem to find the motivation to stick with anything. Injuries and surgeries have created even more issues and I was at my breaking point. Then I saw the app. Working out from your bed?  I thought, with my lower back and knee problems why not try it. First work out I decided to go ahead and subscribe. It truly does work, and you will notice little changes within days.  Best part, there’s only encouragement. If you miss working out, you can pick up where you left off or start back at day one. A step-by-step plan that also includes many extras. At first glance you might think, what? How can this work? It does! It most definitely does and I tell everyone about it! Thanks Just Fit for helping me get healthy again. 😁",5,False,It works!,ymof8,JustFit Lazy Workout Fit
2023-03-13 02:55:05,"{'id': 35391784, 'body': ""Dear user, so sorry. We offer a 7-day free trial to our annual subscription. You can manage and cancel your subscription on Settings of your iPhone or get a refund through Apple Support. If you have any questions, please email us at contact.justfit@enerjoy.life. We're glad to help you. We really appreciate you updating your updated review once you have been helped. Thanks for your understanding. It means a lot to us."", 'modified': '2023-03-15T03:00:45Z'}",So I downloaded this app and it’s so useful to be able to choose low impact lazy short workouts to start with… however I would have liked 7 days to try the app out to see if I’d like to buy  the subscription. I did 3 days and on day 4 I logged in to find that I can’t play through any more workouts. Since I wasn’t warned when downloading the app that this would happen it made me so angry that I missed my workout and decided to use another method to get back in shape. I 100% LOVED the app otherwise and WOULD HAVE paid for the subscription but their little ‘oopsie paywall’ at day4 right when I was JUST getting into the swing of working out again really angered me and stole my motivation for the entire day. I would NOT RECOMMEND this app to anyone unless the fix the trial period to 7 days OR AT LEAST put a warning so I would have known not to download it in the first place! I would not have downloaded it in the first place if they had said it cuts off after 3 days. The whole point of this app is to motivate you to get moving again. Literally ANY roadblock is enough at day 3 to make one quit. I quit this app. Please fix it.,1,False,Paywall hits on day 4.,MommaOfMayhem,JustFit Lazy Workout Fit
